2025-02-03 00:00:11 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h21m3s572ms).
2025-02-03 03:12:24 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h12m12s961ms).
2025-02-03 06:44:15 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h31m50s682ms).
2025-02-03 07:40:04 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=55m49s66ms).
2025-02-03 07:42:14 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m9s577ms).
2025-02-03 08:15:40 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=33m26s6ms).
2025-02-03 10:04:00 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h48m20s6ms).
2025-02-03 11:05:05 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h1m4s907ms).
2025-02-03 11:59:04 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=53m59s739ms).
2025-02-03 12:14:49 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m45s212ms).
2025-02-03 12:29:42 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=14m52s773ms).
2025-02-03 15:02:10 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h32m27s650ms).
2025-02-03 15:14:24 - WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m13s947ms).
2025-02-03 15:14:45 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 6842 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 15:14:45 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 15:14:45 - INFO  - The following 1 profile is active: "production"
2025-02-03 15:14:45 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 15:14:45 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 15:14:45 - INFO  - Finished Spring Data repository scanning in 59 ms. Found 3 JPA repository interfaces.
2025-02-03 15:14:46 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 15:14:46 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 15:14:46 - INFO  - Starting service [Tomcat]
2025-02-03 15:14:46 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 15:14:46 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 15:14:46 - INFO  - Root WebApplicationContext: initialization completed in 513 ms
2025-02-03 15:14:46 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 15:14:46 - INFO  - HikariPool-1 - Starting...
2025-02-03 15:14:46 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@25109608
2025-02-03 15:14:46 - INFO  - HikariPool-1 - Start completed.
2025-02-03 15:14:46 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 15:14:47 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 15:14:47 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 15:14:47 - INFO  - Started HomemoviesApplication in 1.906 seconds (process running for 2.208)
2025-02-03 15:43:04 - INFO  - Starting HomemoviesApplication using Java 21.0.2 with PID 10901 (/Users/spencerbirch/Documents/Code/homemovies/homevideos/backend/target/classes started by spencerbirch in /Users/spencerbirch/Documents/Code/homemovies/homevideos)
2025-02-03 15:43:04 - DEBUG - Running with Spring Boot v3.2.2, Spring v6.1.3
2025-02-03 15:43:04 - INFO  - The following 1 profile is active: "production"
2025-02-03 15:43:05 - INFO  - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-03 15:43:05 - INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-03 15:43:05 - INFO  - Finished Spring Data repository scanning in 66 ms. Found 3 JPA repository interfaces.
2025-02-03 15:43:05 - INFO  - Tomcat initialized with port 8080 (http)
2025-02-03 15:43:05 - INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-03 15:43:05 - INFO  - Starting service [Tomcat]
2025-02-03 15:43:05 - INFO  - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-03 15:43:05 - INFO  - Initializing Spring embedded WebApplicationContext
2025-02-03 15:43:05 - INFO  - Root WebApplicationContext: initialization completed in 539 ms
2025-02-03 15:43:05 - INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-03 15:43:05 - INFO  - HikariPool-1 - Starting...
2025-02-03 15:43:05 - INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7198ab9a
2025-02-03 15:43:05 - INFO  - HikariPool-1 - Start completed.
2025-02-03 15:43:06 - INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-03 15:43:06 - INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-02-03 15:43:06 - INFO  - Tomcat started on port 8080 (http) with context path ''
2025-02-03 15:43:06 - INFO  - Started HomemoviesApplication in 1.88 seconds (process running for 2.217)
2025-02-03 15:43:12 - INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-03 15:43:12 - INFO  - Initializing Servlet 'dispatcherServlet'
2025-02-03 15:43:12 - INFO  - Completed initialization in 1 ms
2025-02-03 15:43:12 - INFO  - 102 - Getting page 0
2025-02-03 15:43:12 - INFO  - 102 - Getting page 1
2025-02-03 15:43:18 - INFO  - 102 - Getting video by ID: 4
2025-02-03 15:43:18 - INFO  - 102 - Getting comments for video '4'
2025-02-03 15:43:20 - INFO  - 102 - Getting video by ID: 4
2025-02-03 15:43:20 - INFO  - 102 - Getting comments for video '4'
2025-02-03 15:43:21 - INFO  - 102 - Getting page 0
2025-02-03 15:43:21 - INFO  - 102 - Getting page 1
2025-02-03 15:43:24 - INFO  - 102 - Getting page 0
2025-02-03 15:43:24 - INFO  - 102 - Getting page 1
2025-02-03 15:49:23 - INFO  - 102 - Getting page 0
2025-02-03 15:49:23 - INFO  - 102 - Getting page 1
2025-02-03 15:49:25 - INFO  - 102 - Getting video by ID: 4
2025-02-03 15:49:25 - INFO  - 102 - Getting comments for video '4'
2025-02-03 15:49:49 - INFO  - 102 - Login attempt for user: 'spencer'
2025-02-03 15:49:49 - INFO  - 102 - Generating JWT token for user 'spencer'
2025-02-03 15:49:49 - INFO  - 200 - Set authentication cookie
2025-02-03 15:49:49 - INFO  - 200 - Successful login for user: 'spencer'
